Id,label
1,22
2,16
3,16
4,16
5,16
6,6
7,18
8,2
9,6
10,6
11,2
12,6
13,6
14,22
15,6
16,1
17,22
18,18
19,18
20,16
21,2
22,1
23,12
24,22
25,12
26,1
27,16
28,6
29,1
30,2
31,6
32,2
33,16
34,1
35,18
36,2
37,1
38,1
39,1
40,18
41,16
42,22
43,2
44,18
45,2
46,16
47,1
48,12
49,1
50,18
51,6
52,1
53,1
54,1
55,18
56,18
57,6
58,2
59,2
60,18
61,2
62,22
63,1
64,1
65,6
66,18
67,2
68,1
69,16
70,16
71,6
72,6
73,2
74,18
75,2
76,6
77,2
78,22
79,1
80,1
81,22
82,2
83,1
84,6
85,22
86,6
87,1
88,12
89,6
90,12
91,22
92,22
93,22
94,1
95,12
96,2
97,1
98,2
99,2
100,12
101,16
102,12
103,16
104,6
105,22
106,12
107,2
108,2
109,18
110,2
111,12
112,2
113,18
114,1
115,16
116,2
117,2
118,16
119,6
120,18
121,1
122,2
123,2
124,16
125,1
126,16
127,1
128,2
129,1
130,2
131,6
132,6
133,6
134,12
135,2
136,2
137,18
138,2
139,1
140,2
141,2
142,18
143,2
144,2
145,22
146,6
147,6
148,22
149,12
150,18
151,6
152,18
153,1
154,18
155,22
156,18
157,18
158,16
159,2
160,1
161,1
162,18
163,18
164,18
165,16
166,18
167,18
168,16
169,1
170,1
171,6
172,2
173,2
174,16
175,16
176,6
177,22
178,12
179,2
180,1
181,1
182,16
183,1
184,6
185,2
186,12
187,22
188,2
189,6
190,16
191,6
192,1
193,1
194,6
195,18
196,6
197,1
198,1
199,22
200,2
201,1
202,6
203,22
204,2
205,2
206,1
207,1
208,1
209,12
210,6
211,12
212,6
213,1
214,1
215,18
216,18
217,18
218,18
219,12
220,2
221,1
222,1
223,18
224,1
225,1
226,2
227,1
228,1
229,2
230,6
231,18
232,16
233,18
234,6
235,1
236,16
237,12
238,1
239,6
240,1
241,22
242,16
243,2
244,18
245,6
246,22
247,2
248,18
249,6
250,1
251,18
252,6
253,2
254,2
255,16
256,12
257,12
258,2
259,16
260,18
261,2
262,1
263,6
264,1
265,6
266,2
267,6
268,2
269,22
270,6
271,6
272,2
273,2
274,22
275,18
276,1
277,18
278,18
279,22
280,2
281,12
282,6
283,2
284,6
285,2
286,1
287,18
288,12
289,1
290,18
291,12
292,2
293,22
294,16
295,6
296,18
297,1
298,2
299,2
300,16
301,22
302,6
303,12
304,6
305,2
306,6
307,2
308,2
309,2
310,2
311,12
312,6
313,16
314,1
315,18
316,2
317,12
318,16
319,22
320,6
321,1
322,12
323,1
324,6
325,2
326,6
327,18
328,12
329,18
330,2
331,2
332,1
333,18
334,1
335,1
336,1
337,1
338,12
339,1
340,18
341,2
342,2
343,12
344,2
345,18
346,18
347,12
348,16
349,12
350,16
351,6
352,6
353,1
354,22
355,18
356,12
357,12
358,6
359,2
360,22
361,12
362,16
363,1
364,2
365,6
366,2
367,18
368,1
369,12
370,1
371,1
372,12
373,6
374,16
375,2
376,2
377,1
378,1
379,1
380,1
381,1
382,18
383,6
384,6
385,18
386,1
387,12
388,2
389,6
390,12
391,6
392,22
393,2
394,22
395,18
396,16
397,16
398,12
399,2
400,1
401,1
402,12
403,18
404,1
405,12
406,16
407,1
408,22
409,2
410,2
411,1
412,18
413,1
414,22
415,1
416,6
417,12
418,12
419,1
420,2
421,22
422,16
423,6
424,12
425,2
426,1
427,6
428,18
429,16
430,16
431,12
432,2
433,12
434,12
435,18
436,22
437,16
438,2
439,1
440,6
441,2
442,2
443,6
444,1
445,6
446,16
447,6
448,16
449,2
450,18
451,2
452,16
453,22
454,12
455,12
456,2
457,12
458,16
459,6
460,18
461,18
462,18
463,2
464,2
465,6
466,2
467,22
468,12
469,2
470,16
471,1
472,1
473,6
474,6
475,1
476,18
477,16
478,1
479,2
480,2
481,1
482,2
483,1
484,16
485,1
486,18
487,22
488,2
489,1
490,6
491,1
492,2
493,2
494,1
495,1
496,2
497,16
498,18
499,2
500,12
